#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      5.44e-01      2.69e-03      1.72e-02    1.0e-03
   2000      2.83e-01      1.97e-03      8.93e-03    1.0e-03
   4000      3.42e-01      3.76e-03      1.08e-02    1.0e-03
   6000      3.35e-01      7.09e-03      1.05e-02    1.0e-03
   8000      3.57e-01      2.52e-03      1.13e-02    1.0e-03
  10000      2.92e-01      5.25e-04      9.22e-03    1.0e-03
  12000      2.48e-01      6.69e-04      8.10e-03    9.4e-04
  14000      2.80e-01      9.47e-04      9.15e-03    9.4e-04
  16000      5.30e-01      2.49e-03      1.73e-02    9.4e-04
  18000      3.62e-01      5.62e-04      1.18e-02    9.4e-04
  20000      2.68e-01      4.94e-04      8.77e-03    9.4e-04
  22000      2.72e-01      1.02e-03      9.19e-03    8.8e-04
  24000      2.59e-01      3.39e-05      8.77e-03    8.8e-04
  26000      3.13e-01      9.90e-04      1.06e-02    8.8e-04
  28000      2.99e-01      2.03e-03      1.01e-02    8.8e-04
  30000      2.96e-01      1.43e-03      9.98e-03    8.8e-04
  32000      2.74e-01      1.44e-04      9.26e-03    8.8e-04
  34000      2.35e-01      8.19e-04      8.19e-03    8.2e-04
  36000      2.65e-01      1.11e-03      9.26e-03    8.2e-04
  38000      3.05e-01      2.04e-03      1.06e-02    8.2e-04
  40000      2.78e-01      1.05e-03      9.72e-03    8.2e-04
  42000      2.51e-01      1.47e-03      8.73e-03    8.2e-04
  44000      2.61e-01      8.11e-04      9.41e-03    7.7e-04
  46000      3.49e-01      6.15e-04      1.26e-02    7.7e-04
  48000      3.05e-01      4.40e-05      1.10e-02    7.7e-04
  50000      2.83e-01      2.37e-04      1.02e-02    7.7e-04
  52000      2.36e-01      2.31e-03      8.42e-03    7.7e-04
  54000      2.81e-01      1.99e-03      1.01e-02    7.7e-04
  56000      2.81e-01      1.23e-04      1.05e-02    7.2e-04
  58000      2.63e-01      7.98e-04      9.82e-03    7.2e-04
  60000      2.39e-01      7.44e-04      8.90e-03    7.2e-04
  62000      2.38e-01      1.58e-03      8.84e-03    7.2e-04
  64000      2.45e-01      1.48e-03      9.10e-03    7.2e-04
  66000      2.20e-01      5.79e-05      8.48e-03    6.7e-04
